game_id,game_name,view_count
18181,Final Fantasy Tactics,1474
505845,Realm Royale,1473
24623,MechWarrior Online,1466
16967,The Legend of Zelda: The Wind Waker,1465
489758,PokÃ©mon Super Mystery Dungeon,1437
494327,Minion Masters,1415
494632,Arizona Sunshine,1408
2897,The Simpsons: Hit & Run,1408
33180,The Last of Us,1402
488755,Fire Emblem Fates,1362
492553,Sid Meier's Civilization VI,1353
418016,The Long Dark,1345
3359,The Legend of Zelda: Phantom Hourglass,1339
1420,Half-Life 2,1338
313449,Life Goes On,1330
505967,Pro Evolution Soccer 2019,1315
15229,Ragnarok Online,1315
499028,Stormworks: Build and Rescue,1311
478467,Vainglory,1307
2634,Banjo-Tooie,1305
130942,Factorio,1300
493813,Dusk,1288
510185,LoupsGarous.fr,1283
492528,OneShot,1282
498750,windowframe,1267
488910,American Truck Simulator,1258
497497,Brawl Stars,1247
499049,Survived By,1245
33991,The Guild 2: Renaissance,1220
5360,Resident Evil,1199
498433,Might & Magic: Elemental Guardians,1193
459327,Hearts of Iron IV,1192
508752,The Jackbox Party Pack 5,1186
460620,Rise of the Tomb Raider,1160
506458,Overcooked! 2,1149
500727,EA Sports UFC 3,1148
490314,Shadow Warrior 2,1143
499916,Steel Rats,1142
23609,S.T.A.L.K.E.R.: Call of Pripyat,1139
29413,Zettai Zetsumei Toshi 4: Summer Memories,1123
508662,Identity V,1121
14543,PokÃ©mon Crystal,1105
458634,Cyphers Online,1103
33437,Resident Evil 6,1091
504735,Shadow of the Tomb Raider,1089
491307,Pocket Mortys,1081
490177,Blood Bowl 2,1078
495064,Splatoon 2,1073
27473,Persona 5,1068
460951,Geometry Dash,1060
12870,Mega Man 2,1057
494162,NieR Automata,1053
497435,XCOM 2: War of the Chosen,1030
506413,Forza Horizon 4,1018
493549,Frostpunk,1017
493567,Throne of Lies: The Online Game of Deceit,1016
497867,Judgement,1010
460501,Return of the Obra Dinn,996
496043,SteamWorld Dig 2,994
417749,Tabletop Simulator,986
8645,Resident Evil 2,984
28417,Retro City Rampage,970
14766,Super Mario Galaxy,967
313146,Darkwood,965
500560,Mega Man 11,962
508313,Tourist Bus Simulator,950
11549,Warcraft III: Reign of Chaos,944
458641,Uncharted 4: A Thief's End,941
494536,Dauntless,938
490374,Horizon Zero Dawn,934
498434,Azur Lane,932
495062,Octopath Traveler,931
5126,Resident Evil 3: Nemesis,927
15013,Prey,923
494295,Domina,922
73586,Outlast,920
505774,Dragalia Lost,913
460443,Brave Frontier,908
460327,PokÃ©mon Omega Ruby/Alpha Sapphire,902
9891,Silent Hill 2,895
19589,L.A. Noire,894
126261,Stalker Online,888
496193,King's Raid,885
369075,A Hat in Time,883
476269,Yakuza 0,882
6733,Parasite Eve II,871
500008,MLB The Show 18,866
490839,Board Games Live,865
492971,Tricky Towers,863
491587,The Culling,862
23166,Mount & Blade: Warband,853
28576,Resident Evil: Revelations,847
4392,F.E.A.R.: First Encounter Assault Recon,846
313527,Overlight,839
458912,Kingdom Come: Deliverance,836
500460,Sid Meier's Civilization VI: Rise & Fall,834
73914,Clash of Clans,820
417796,Roll20 Virtual Tabletop,820
502918,Two Point Hospital,809
492354,Fire Emblem Mobile,808
27101,CrossFire,802
509619,Thronebreaker: The Witcher Tales,797
491186,Super Senso,790
6737,Super Mario RPG: Legend of the Seven Stars,787
10081,Kingdom Hearts,771
6205,Sonic 3D Blast,766
489853,Romance of the Three Kingdoms XIII,762
506333,Tetris Effect,757
491283,White Day: A Labyrinth Named School,740
7689,Final Fantasy,722
23017,Dead Space 2,716
459104,Night in the Woods,716
509481,Twitch Sings,713
494030,Girls Frontline,694
489543,Marvel Future Fight,694
499560,The Legend of Heroes: Trails of Cold Steel III,692
508465,Creative Destruction,689
18906,Saints Row 2,688
28578,Zumba Fitness,687
8090,Final Fantasy IX,680
65706,Dead Space 3,675
66402,Battlefield 4,673
11282,Final Fantasy VIII,671
509669,Beauty & Body Art,669
29093,Dustforce,658
510118,Deltarune,657
18241,Disney's Aladdin,653
19100,Aliens: Colonial Marines,652
460316,Brawlhalla,652
505496,Protocol,648
370472,Wreckfest,646
506461,Rapture Rejects,644
493277,Battlerite,641
6341,ESPN NFL Football,636
491586,The Room Three,636
491170,Black Survival,631
369380,Dying Light,630
493551,Conan Exiles,629
488840,Monster Boy and The Cursed Kingdom,626
19180,Final Fantasy XV,625
313331,DCS World,624
6756,Crash Bandicoot,622
498821,Spintires: MudRunner,616
494141,Monster Hunter Generations Ultimate,611
15631,Grand Theft Auto: Vice City,610
508289,WWE 2K19,609
34201,PlayStation All-Stars Battle Royale,608
509664,Tabletop RPGs,593
24963,Cricket,592
29179,Neverwinter,592
19904,Nexus: The Kingdom of the Winds,586
493263,Dead or Alive Xtreme: Venus Vacation,580
490063,Dragon's Dogma Online,580
66366,War Thunder,578
497371,Monolith,575
80603,Shantae and the Pirate's Curse,574
490757,BattleTech,573
1173,Boxing,573
5288,Ultima Online,572
489738,60 Seconds!,564
2916,GoldenEye 007,562
29936,Anime Land,561
496268,Battle Princess Madelyn,555
502322,Apparition,554
32207,The Binding of Isaac,553
19156,Alan Wake,544
9954,EverQuest,544
5804,Silent Hill 4: The Room,543
65953,Watch Dogs,540
497572,Gold Rush: The Game,537
32542,Persona 4 Golden,532
16570,Fatal Frame,525
33945,Starbound,525
5899,Stocks And Bonds,525
490379,Tom Clancy's Ghost Recon: Wildlands,524
413569,The Lord of the Rings Online,522
489169,One Piece Treasure Cruise,521
496144,Tomb Raider (1996),515
18707,Grand Theft Auto IV,514
29143,Catherine,510
1736,Tetris,510
510035,Brown Dust,502
493877,Sonic Mania,501
91419,Metal Gear Solid V: The Phantom Pain,494
24438,Mu Online,494
492501,Shadow Tactics: Blades of the Shogun,494
497509,Ashes of Creation,491
3977,Contra,490
490633,Phoenix Wright: Ace Attorney â€“ Spirit of Justice,484
16370,The Oregon Trail,484
31684,Special Force,479
24034,Nier,478
5815,Final Fantasy VI,474
16082,Deus Ex,473
490698,The King of Fighters XIV,473
8510,Point Blank,469
18871,Mario Kart Wii,464
369590,Super Mario 3D World,463
9479,Metroid Fusion,458
18908,Shin Megami Tensei: Persona 3 FES,456
502732,Free Fire: Battlegrounds,455
417919,PULSAR: Lost Colony,452
5505,Treasure Hunter,444
503076,Jikkyou Powerful Pro Yakyuu 2018,443
497222,Hades (1995),441
491401,Blood and Bacon,438
18886,F.E.A.R. 2: Project Origin,438
491471,HITMAN,438
24376,Tales Runner,438
3287,Football,435
505210,Golfing Over It with Alva Majo,435
9250,Mario Kart 64,434
508292,Bloons TD 6,433
497118,The Crew 2,431
490384,Planet Coaster,430
495856,Northgard,428
6855,Paper Mario: The Thousand-Year Door,428
383341,Miscreated,424
368205,The Legend of Zelda: The Wind Waker HD,424
490407,Pac-Man 256,423
18817,Banjo-Kazooie: Nuts & Bolts,422
497527,Doki Doki Literature Club,421
498302,Arena of Valor,415
489668,Granblue Fantasy,412
2709,Monopoly,409
4646,Bump 'N' Jump,408
18763,Fallout 3,406
6521,Grand Theft Auto: San Andreas,406
138567,Final Fantasy X/X-2 HD Remaster,404
497889,Marvel Powers United VR,401
11103,Uno,400
13765,Donkey Kong 64,397
497878,Fighting EX Layer,397
498000,House Flipper,397
8464,Parasite Eve,397
510024,Lost In Vivo,396
3814,Circus Charlie,392
510521,Broken Reality,387
32634,PokÃ©mon Trading Card Game Online,387
31339,Project Zomboid,387
9522,Silent Hill 3,387
510395,Battlefleet Gothic: Armada II,383
491381,Golf With Your Friends,383
461389,Life Is Strange,382
33734,PokÃ©mon Black/White Version 2,381
505330,Pump It Up Prime 2,380
499910,Simulacra,379
27921,Dragon Age II,378
18526,The Elder Scrolls IV: Oblivion,376
4382,Final Fantasy V,375
23239,Plants vs. Zombies,374
914,Tony Hawk's Pro Skater 2,372
490500,BlazBlue: Central Fiction,367
412756,Trove,366
501925,The Council,365
498303,The Jackbox Party Pack 4,363
504097,Gamer Career Tycoon,362
496000,Middle-earth: Shadow of War,362
30362,Uncharted Waters Online,362
509955,God's Basement,360
369364,EA Sports UFC,358
6604,Fatal Frame III: The Tormented,356
490916,Skyhill,354
493862,The Great Merchant,354
17516,Super Smash Bros.,352
572,King's Field,350
25367,Dungeon Fighter Online,349
27127,Amnesia: The Dark Descent,347
499949,surviv.io,347
497818,Pathfinder: Kingmaker,344
497877,BlazBlue Cross Tag Battle,341
30988,Spiral Knights,340
33794,Omerta: City of Gangsters,338
503561,Dissidia: Final Fantasy Opera Omnia,334
489136,Rock Band 4,334
9182,Dark Cloud 2,332
509671,Sports & Fitness,330
461410,Hellblade,325
130957,Puzzle & Dragons,325
506162,Creed: Rise to Glory,324
417838,Monster Hunter 4 Ultimate,324
499533,God Eater 3,323
500007,Utawarerumono: Chiriyuku Mono e no Komoriuta,320
67637,Until Dawn,318
500276,Million Arthur Arcana Blood,313
313444,Crypt of the NecroDancer,312
495563,Project CARS 2,312
2629,Siren,309
488153,Dragon Quest XI,307
461492,Keep Talking and Nobody Explodes,304
491751,Everspace,302
497437,The Evil Within 2,302
417694,Town of Salem,302
505935,Delivery from the Pain,299
491500,Deponia: The Complete Journey,299
26552,Spec Ops: The Line,299
21934,Star Wars: The Old Republic,299
32596,Deponia,294
7925,Castlevania: The Adventure,292
4796,Prince of Persia: The Sands of Time,290
505341,while True: learn(),289
488500,Battlefield 1,288
6263,Sonic Adventure 2: Battle,285
3014,Scrabble,282
494683,theHunter: Call of the Wild,279
4474,Teenage Mutant Ninja Turtles: Tournament Fighters,277
498842,Valnir Rok,277
6942,The King of Fighters 2002: Challenge to Ultimate Battle,272
29918,Warface,272
490386,Plants vs. Zombies: Garden Warfare 2,270
26476,Tera,267
509389,Overkill's The Walking Dead,262
30367,EarthBound,261
500044,Death Coming,259
489401,Call of Duty: Black Ops III,258
10460,TV and Cinema 101: Trivia from Talkies to Trekkies,257
14890,Zelda II: The Adventure of Link,255
489064,Soccer Spirits,254
2209,Pikmin,251
492492,Total Extreme Wrestling 2016,250
19431,Aion,249
7458,Baseball,248
17717,Breath of Fire III,248
417984,Mountain,248
506454,Super Mario Party,248
1776,Ballz 3D: Fighting at its Ballziest,247
66246,Total War: Rome II,247
494055,Don't Knock Twice,245
508816,Just Dance Now,241
508260,The Golf Club 2019 Featuring PGA Tour,241
18146,Super Mario Land,239
15820,TimeSplitters 2,238
496464,Guilty Gear Xrd REV 2,237
492568,Book of Demons,234
460640,AbzÃ»,232
17447,Disciples II: Rise of the Elves,232
313517,Child of Light,231
494131,Little Nightmares,231
33581,Automation,230
369577,Trials Fusion,230
509394,Assetto Corsa Competizione,228
22302,Penn And Teller's Smoke And Mirrors,228
12453,Grand Theft Auto,227
496857,THE iDOLM@STER MILLION LIVE! THEATER DAYS,227
505956,World War 3,223
416004,Savant,220
18888,Warhammer Online: Age of Reckoning,220
489164,Danganronpa V3: Killing Harmony,219
496993,Rakuen,219
10033,Banjo-Kazooie,217
496983,skribbl.io,216
508601,NASCAR Heat 3,214
489405,DragonBall Z: Dokkan Battle,212
505473,Granny,211
492934,Resident Evil 7 biohazard,211
498210,Dragon Quest Builders 2,210
497581,Dream Daddy: A Dad Dating Simulator,210
6511,Halo 2,207
495711,Need for Speed: Most Wanted (2005),206
30443,Song Master,206
490438,Ultimate Chicken Horse,206
500799,Emily Wants to Play Too,205
19009,Dead Space,204
508402,Live,204
489577,St Jude PLAY LIVE,204
495196,Immortal Redneck,203
4375,Kingdom Hearts II,203
32245,Ultimate Marvel vs. Capcom 3,201
496259,PC Building Simulator,199
510292,Tower Hunter: Erza's Trial,199
491859,Black Squad,197
6761,Mega Man 7,197
3453,Generations Lost,196
133897,"Papers, Please",196
459188,Paint it Back,195
488620,The Banner Saga 2,195
94884,Hotline Miami 2: Wrong Number,194
126260,RaceRoom Racing Experience,194
493951,Battle Chasers: Nightwar,192
23549,Kindergarten,192
498173,Persona 3: Dancing in Moonlight,191
23178,Synergy,191
488533,The Legend of Zelda: Majora's Mask 3D,189
490464,Tsioque,187
498510,Yakuza Kiwami 2,187
28867,Vindictus,186
496853,Star Wars: Galaxy of Heroes,185
501930,Surviving Mars,185
496712,Call of Duty: WWII,184
8118,Star Wars: Knights of the Old Republic II - The Sith Lords,184
11386,Metal Gear Solid 2: Sons of Liberty,182
68000,The Evil Within,181
497416,Darwin Project,179
509268,Leisure Suit Larry: Wet Dreams Don't Dry,179
9402,Resident Evil Zero,178
317,Tomb Raider II,177
19275,DC Universe Online,175
504126,Farm Together,173
488479,Squad,170
369567,Halo 5: Guardians,169
1068,Dragon Warrior I & II,167
499154,My Memory of Us,167
510389,Shakes and Fidget,167
505939,zombsroyale.io,167
498044,CityBattle: Virtual Earth,163
313445,Tropico 5,163
369418,GeoGuessr,162
129117,Nuclear Throne,162
494925,Raft,162
491927,Sophie's Curse,162
5189,Contract J.A.C.K.,161
8882,Pinball,158
495589,FIFA 18,157
33749,The Banner Saga,157
417920,Angvik,156
9348,Resident Evil: Director's Cut,156
31433,Samorost 3,156
490912,Shin Megami Tensei IV Final,156
488388,The Sun and Moon,156
489394,Exanima,155
458508,Grand Theft Auto: iFruit,154
503243,Sansar,154
508749,Super Seducer 2,154
27761,The Bureau: XCOM Declassified,154
6780,Super Mario Bros. 2,153
498378,Werewolves ç‹¼äººæ®º,153
461427,WWE SuperCard,152
510406,Don't Forget Our Esports Dream,151
491464,Lost Castle,149
493835,Sally Face,149
6086,Super Mario Sunshine,149
510117,Outlast 2,148
7182,Spyro the Dragon,148
85857,Inside,147
26881,Grim Dawn,146
34225,Gundam Online Wars,146
493037,Overcooked!,145
15483,Donkey Kong Country 2: Diddy's Kong Quest,142
17122,Call of Cthulhu: Dark Corners of the Earth,139
497428,Just Dance 2018,139
24203,Halo: Reach,138
492976,Kingdom: New Lands,137
504651,Marvel Strike Force,137
492035,Resident Evil HD Remaster,136
497071,The Last of Us: Left Behind,136
19367,Freshly-Picked: Tingle's Rosy Rupeeland,134
7690,Resident Evil: Code: Veronica X,133
399624,BBO2 Online,132
488974,Devil May Cry 4: Special Edition,131
4185,The Messenger,131
115546,Cry Of Fear,130
313416,GuJian,130
1256,Romancing SaGa,130
18889,Final Fantasy XIII,129
3412,Grand Theft Auto III,129
497585,Graveyard Keeper,129
24872,Nioh,129
65950,Beyond: Two Souls,126
104,Blackjack,126
25251,God of War Collection,126
271198,NCAA Football 14,126
503762,Super Seducer,126
2162,Call of Duty 2,125
506192,Gunsmith,125
490378,South Park: The Fractured But Whole,124
20061,CABAL Online,123
13564,Far Cry,123
493982,Farming Simulator 17,123
89297,Danganronpa 2: Goodbye Despair,122
488844,Devil May Cry 3: Special Edition,122
33299,Mahjong,121
495610,Minit,121
1260,Age of Mythology,120
417528,Albion Online,120
499551,World of Tanks Console,120
14751,Death to Spies,119
501351,The Banner Saga 3,119
489201,Titanfall 2,119
491322,Tooth and Tail,119
2014,Wonder Boy III: The Dragon's Trap,119
491870,Astroneer,118
3256,Max Payne 2: The Fall of Max Payne,117
495918,Hellion,115
496687,Karnage Chronicles,114
499548,Mini Ghost,113
1918,Final Fantasy II,111
65997,Payday 2,110
10446,Blood,109
495292,Lobotomy Corporation | Monster Management Simulation,109
496503,Naruto to Boruto: Shinobi Striker,109
6029,Robin Hood: The Legend of Sherwood,108
252,Golden Sun,107
510456,Fiesta Online,106
17087,JoJo's Bizarre Adventure,106
18814,The Sims 3,106
491467,Guilty Gear XX Accent Core Plus R,105
369560,Flashback,104
15517,Gothic II: Night of the Raven,104
498459,Jurassic World Evolution,104
19535,Kingdom Hearts 358/2 Days,104
460508,Killing Floor 2,103
16541,Castlevania: Harmony of Dissonance,102
26986,Darksiders II,102
493388,Foxhole,102
10609,PokÃ©mon Emerald,102
3623,PokÃ©mon Red/Blue,102
28834,Realm of the Mad God,102
1520,Ninja Gaiden,101
497462,Tropico 6,101
8511,Dark and Light,100
490644,Divinity: Original Sin II,100
759,Harvester,100
497707,OpenRCT2,100
7152,Rocket: Robot on Wheels,99
17828,The Legend of Zelda: Twilight Princess,99
5205,Madagascar,98
31761,Dragon Age: Inquisition,97
1872,Legacy of Kain: Soul Reaver 2,97
492429,Bloons TD Battles,96
494041,Rusty Lake: Roots,96
21548,Basic Programming,95
495070,Detention,95
509506,Shell Shockers,95
20810,Assassin's Creed II,94
492113,Crossout,94
22080,Company of Heroes: Tales of Valor,93
494903,For the King,93
509246,Identity,93
33230,X3: Albion Prelude,93
497443,Life Is Strange: Before the Storm,92
493943,Unavowed,92
140035,World of Tanks Blitz,92
459823,Armored Warfare,91
497148,Mario + Rabbids Kingdom Battle,91
497711,Moonlighter,91
20050,Perfect World,91
15442,Shin Megami Tensei: Nocturne,91
496678,Under Night In-Birth Exe:Late[st],91
418043,Boundless,90
459755,Firewatch,90
498174,Persona 5: Dancing in Starlight,90
19731,Portal 2,90
495819,X-Plane 11,90
499848,DanMachi: Memoria Freese,89
65360,Go,88
7741,San Francisco Rush: Extreme Racing,87
5881,Ultima Underworld: The Stygian Abyss,87
493615,Destiny Child,85
19280,MAG,85
497103,Life Is Strange 2,84
505867,Unreal Engine,84
8828,Home Sweet Home,83
14844,Sega Rally 2,83
497439,Wolfenstein II: The New Colossus,83
496456,Kingdom Hearts HD 1.5 + 2.5 Remix,82
24304,A Christmas Carol,81
25473,Kamen Rider,81
499927,Onrush,81
5975,Shadow of the Colossus,81
8489,Chrono Trigger,80
492935,Drawful 2,80
9698,Tomb Raider: The Last Revelation,80
500545,HQ Trivia,79
369259,Wolfenstein: The New Order,79
9611,The Witcher,78
494792,Witch It,78
27449,SpyParty,77
33030,Tom Clancy's Rainbow 6: Patriots,77
32934,Devil May Cry HD Collection,76
489171,Reign Of Kings,76
3940,Wario Land 4,76
508425,Silent Descent,75
20063,Silkroad Online,75
17464,Sonic Adventure 2,75
27169,The King of Fighters XIII,75
493096,Welcome to the Game,75
4162,Donkey Kong Country 3: Dixie Kong's Double Trouble!,74
490725,The iDOLM@STER Cinderella Girls: Starlight Stage,74
509073,Cube Escape: Paradox,73
5097,Fallout 2,73
493618,Hello Neighbor,72
498644,Yoku's Island Express,72
418063,Five Nights at Freddy's,71
415960,Stonehearth,71
11705,Super Paper Mario,70
17945,Tomb Raider III: Adventures of Lara Croft,70
65867,Divinity: Original Sin,69
9603,Heretic,69
