user_name,language,game_id,game_name,start_time(UTC Time),view_count
Call of Duty,en,504462,Call of Duty: Black Ops 4,2018-12-09 17:30:05,182211
sodapoppin,en,509658,Just Chatting,2018-12-09 20:25:19,51785
Ninja,en,33214,Fortnite,2018-12-10 01:55:36,45954
shroud,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-09 18:57:41,23820
NICKMERCS,en,33214,Fortnite,2018-12-09 22:34:15,22711
DisguisedToast,en,138585,Hearthstone,2018-12-09 22:00:46,21669
summit1g,en,490377,Sea of Thieves,2018-12-09 20:35:48,14018
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-08 19:28:11,13974
xQcOW,en,504461,Super Smash Bros. Ultimate,2018-12-09 21:13:44,12313
pokimane,en,509658,Just Chatting,2018-12-09 23:33:14,12012
GEICOGaming,en,461067,Tekken 7,2018-12-09 23:48:54,11706
DjMaRiiO,es,506103,FIFA 19,2018-12-10 00:58:35,10939
Tennp0,en,33214,Fortnite,2018-12-09 23:17:10,10575
Frankkaster,es,509658,Just Chatting,2018-12-10 02:09:44,8342
AdmiralBahroo,en,504461,Super Smash Bros. Ultimate,2018-12-09 15:59:43,8267
livekiss,zh,26936,Music & Performing Arts,2018-12-09 14:59:01,8255
한동숙,ko,490100,Lost Ark Online,2018-12-09 12:09:18,7981
Zizaran,en,29307,Path of Exile,2018-12-09 15:20:59,6727
Yogscast,en,27471,Minecraft,2018-12-09 23:40:47,6631
Aphromoo,en,21779,League of Legends,2018-12-09 22:14:21,5795
SypherPK,en,33214,Fortnite,2018-12-10 01:13:56,5785
Leko,pt,21779,League of Legends,2018-12-09 23:17:40,5742
Froggen,en,21779,League of Legends,2018-12-09 19:59:05,5471
LFFN,en,504461,Super Smash Bros. Ultimate,2018-12-09 23:28:19,5427
Mathil1,en,29307,Path of Exile,2018-12-09 19:26:30,5353
TSM_Myth,en,33214,Fortnite,2018-12-09 21:35:43,5281
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-10 00:42:31,5031
Trick2g,en,21779,League of Legends,2018-12-09 22:42:19,4933
reynad27,en,138585,Hearthstone,2018-12-09 22:16:21,4787
Cellbit,pt,510043,Darwin's Test,2018-12-09 19:02:21,4750
UberHaxorNova,en,509064,Hello Neighbor: Hide and Seek,2018-12-10 01:07:56,4143
TheHydrogen,pt,21779,League of Legends,2018-12-09 23:25:39,4132
Jensen,en,21779,League of Legends,2018-12-09 22:35:27,4071
Chap,en,33214,Fortnite,2018-12-10 00:49:03,3863
xTheSolutionTV,de,33214,Fortnite,2018-12-09 20:43:46,3860
NairoMK,en,504461,Super Smash Bros. Ultimate,2018-12-09 19:57:03,3833
Cizzorz,en,33214,Fortnite,2018-12-09 21:08:36,3696
JakenbakeLIVE,en,509658,Just Chatting,2018-12-10 01:11:41,3695
DansGaming,en,29307,Path of Exile,2018-12-09 21:36:49,3588
Vargskelethor,en,66122,Plague Inc.,2018-12-10 01:47:41,3306
RaizQT,en,29307,Path of Exile,2018-12-09 19:26:39,3118
Call of Duty® Bravo,en,504462,Call of Duty: Black Ops 4,2018-12-09 17:58:03,3088
mang0,en,504461,Super Smash Bros. Ultimate,2018-12-09 23:52:44,3087
BURGAOfps,pt,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-09 19:09:23,3067
Nepenthez,en,506103,FIFA 19,2018-12-09 23:34:09,2967
