user_name,language,game_id,game_name,start_time(UTC Time),view_count
Ninja,en,33214,Fortnite,2018-12-11 02:01:25,41648
Tfue,en,33214,Fortnite,2018-12-11 04:30:53,38771
TimTheTatman,en,33214,Fortnite,2018-12-11 01:00:23,27200
NICKMERCS,en,33214,Fortnite,2018-12-10 23:34:27,19472
shroud,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-10 20:24:31,16043
loltyler1,en,21779,League of Legends,2018-12-10 20:35:45,15237
TSM_Daequan,en,33214,Fortnite,2018-12-11 00:47:06,14691
summit1g,en,490377,Sea of Thieves,2018-12-10 21:05:07,13861
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-10 19:44:05,13311
MOONMOON_OW,en,504461,Super Smash Bros. Ultimate,2018-12-11 03:12:58,12273
xQcOW,en,504461,Super Smash Bros. Ultimate,2018-12-10 19:35:50,10384
nl_Kripp,en,138585,Hearthstone,2018-12-11 04:00:41,8320
SoLLUMINATI,en,506383,NBA 2K19,2018-12-11 03:56:20,8079
Aungelecette,en,66170,Warframe,2018-12-11 04:06:04,7976
dogdog,en,138585,Hearthstone,2018-12-11 02:38:07,7960
elded,es,509658,Just Chatting,2018-12-11 03:48:21,7108
Strippin,en,504461,Super Smash Bros. Ultimate,2018-12-10 22:59:16,6970
AdmiralBahroo,en,504461,Super Smash Bros. Ultimate,2018-12-10 16:00:39,6796
superleague,en,21779,League of Legends,2018-12-11 03:24:50,6753
Vinesauce,en,504461,Super Smash Bros. Ultimate,2018-12-11 03:54:53,6534
침착맨,ko,138585,Hearthstone,2018-12-11 01:59:03,6150
JakenbakeLIVE,en,509658,Just Chatting,2018-12-11 02:32:02,5955
livekiss,zh,26936,Music & Performing Arts,2018-12-09 14:59:01,5901
DisguisedToast,en,506384,Just Cause 4,2018-12-10 22:01:06,5851
Yogscast,en,27471,Minecraft,2018-12-11 00:10:31,5802
Zizaran,en,29307,Path of Exile,2018-12-11 02:21:55,5613
MYM_ALKAPONE,es,504199,Battlefield V,2018-12-11 02:00:38,5566
LFFN,en,504461,Super Smash Bros. Ultimate,2018-12-10 16:52:02,5550
aimbotcalvin,en,488552,Overwatch,2018-12-11 03:15:09,5424
chocoTaco,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 01:03:54,5197
KYR_SP33DY,en,27471,Minecraft,2018-12-11 04:00:29,5193
Voyboy,en,21779,League of Legends,2018-12-11 02:00:45,5144
Doublelift,en,21779,League of Legends,2018-12-11 04:33:55,4687
NairoMK,en,504461,Super Smash Bros. Ultimate,2018-12-10 22:22:31,4390
UberHaxorNova,en,504461,Super Smash Bros. Ultimate,2018-12-11 01:27:10,4203
gaules,pt,32399,Counter-Strike: Global Offensive,2018-12-10 23:46:48,3547
DansGaming,en,29307,Path of Exile,2018-12-10 16:29:02,3526
Jerma985,en,10902,Katamari Damacy,2018-12-11 00:04:22,3466
TheHydrogen,pt,21779,League of Legends,2018-12-10 23:42:08,3419
AsmodaiTV,en,138585,Hearthstone,2018-12-11 00:09:34,3397
gratis150ml,pt,21779,League of Legends,2018-12-11 03:21:46,3374
mandiocaa1,pt,21779,League of Legends,2018-12-11 01:39:59,3223
西門夜說,zh,21779,League of Legends,2018-12-11 00:34:06,3219
개복어,ko,490100,Lost Ark Online,2018-12-11 01:42:48,3178
Maximilian_DOOD,en,504462,Call of Duty: Black Ops 4,2018-12-11 04:45:29,3102
BananaSlamJamma,en,29595,Dota 2,2018-12-11 00:27:29,2899
Cizzorz,en,33214,Fortnite,2018-12-10 22:38:40,2895
Trick2g,en,21779,League of Legends,2018-12-10 23:14:26,2893
kyo1984123,zh,138585,Hearthstone,2018-12-11 01:13:31,2842
RaizQT,en,29307,Path of Exile,2018-12-10 19:10:22,2772
DrLupo,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 01:58:51,2669
Aa9skillz,en,506103,FIFA 19,2018-12-11 01:04:53,2592
AriGameplays,es,33214,Fortnite,2018-12-11 02:47:31,2565
Mickalow,fr,504461,Super Smash Bros. Ultimate,2018-12-10 23:49:12,2500
GoldGlove,en,504462,Call of Duty: Black Ops 4,2018-12-11 02:41:30,2496
Amouranth,en,509659,ASMR,2018-12-11 01:29:52,2396
KingGeorgeTV,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-11 01:31:15,2352
우정잉,ko,509658,Just Chatting,2018-12-11 04:02:40,2296
CCnCDotA2,en,29595,Dota 2,2018-12-11 00:29:36,2274
InexpensiveGamer,en,66170,Warframe,2018-12-11 02:06:06,2230
OverwatchContenders,en,488552,Overwatch,2018-12-11 00:43:28,2163
Scarra,en,21779,League of Legends,2018-12-11 01:30:33,2067
KingRichard,en,33214,Fortnite,2018-12-11 04:32:04,2049
BikeMan,en,7022,The Forest,2018-12-11 02:49:19,2003
DolphinChemist,en,496902,Slay the Spire,2018-12-11 00:00:14,1971
Lethalfrag,en,493526,Runner3,2018-12-10 23:31:30,1956
GGwpLanaya,ru,29595,Dota 2,2018-12-11 00:54:54,1941
iLLeYY,en,504462,Call of Duty: Black Ops 4,2018-12-10 23:21:37,1939
Gabi,pt,509658,Just Chatting,2018-12-10 19:59:49,1932
yuukfps,pt,509658,Just Chatting,2018-12-11 02:31:56,1850
itsHafu,en,138585,Hearthstone,2018-12-11 02:09:46,1827
RealKraftyy,en,488552,Overwatch,2018-12-10 20:43:10,1793
PurgeGamers,en,29595,Dota 2,2018-12-10 23:23:02,1784
sleightlymusical,en,504461,Super Smash Bros. Ultimate,2018-12-11 02:05:29,1782
JASONR,en,32399,Counter-Strike: Global Offensive,2018-12-11 02:51:31,1780
Alfie,en,459931,Old School RuneScape,2018-12-10 23:22:44,1777
thedarkness,pt,460630,Tom Clancy's Rainbow Six: Siege,2018-12-10 21:36:34,1776
POACH,en,33214,Fortnite,2018-12-11 03:29:56,1771
SparcMac_ze,en,459931,Old School RuneScape,2018-12-11 03:57:15,1732
xChocoBars,en,21779,League of Legends,2018-12-10 23:03:50,1686
Grimmmz,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 01:41:25,1672
DuendePablo,es,488552,Overwatch,2018-12-11 01:45:36,1669
ProtonJon,en,15910,Bomberman 64,2018-12-11 03:04:20,1654
LSV,en,2748,Magic: The Gathering,2018-12-11 04:15:23,1650
harbleu,en,488552,Overwatch,2018-12-11 04:08:05,1637
Solary,fr,21779,League of Legends,2018-12-10 16:51:27,1624
Brozime,en,66170,Warframe,2018-12-10 19:59:38,1619
CalebDMTG,en,2748,Magic: The Gathering,2018-12-11 01:12:08,1596
TehJamJar,en,32982,Grand Theft Auto V,2018-12-11 00:05:58,1570
Amaz,en,138585,Hearthstone,2018-12-11 01:58:14,1568
TehJamJar,en,32982,Grand Theft Auto V,2018-12-11 00:05:58,1566
XodaLive,es,497852,Business Tour,2018-12-11 00:55:13,1546
AnnieBot,en,21779,League of Legends,2018-12-11 02:24:09,1533
KingNappy,en,509658,Just Chatting,2018-12-11 00:51:22,1519
ScottJund,en,491487,Dead by Daylight,2018-12-11 02:15:21,1505
Criken,en,2748,Magic: The Gathering,2018-12-11 03:04:42,1503
mrslotohuntenrg,ru,509576,Casino,2018-12-10 21:06:34,1503
Haraw,fr,504954,Ring Of Elysium,2018-12-11 03:08:15,1497
CrReaM,en,7022,The Forest,2018-12-11 02:52:03,1460
Theuberelite,en,29307,Path of Exile,2018-12-10 14:34:46,1427
DatModz,en,29307,Path of Exile,2018-12-11 00:37:34,1408
Theuberelite,en,29307,Path of Exile,2018-12-10 14:34:46,1406
MaryJLeeee,en,509659,ASMR,2018-12-11 02:52:07,1380
danikxaz,ru,509576,Casino,2018-12-10 18:50:31,1379
iateyourpie,en,11557,The Legend of Zelda: Ocarina of Time,2018-12-11 00:51:03,1378
Hungrybox,en,504461,Super Smash Bros. Ultimate,2018-12-11 00:01:55,1367
Mizkif,en,504461,Super Smash Bros. Ultimate,2018-12-11 01:53:02,1357
shofu,en,504461,Super Smash Bros. Ultimate,2018-12-11 02:20:10,1322
vitussubritvayn,ru,509576,Casino,2018-12-10 23:03:30,1318
cdewx,en,18122,World of Warcraft,2018-12-11 03:44:36,1316
GassyMexican,en,7022,The Forest,2018-12-11 03:24:01,1306
BURGAOfps,pt,506103,FIFA 19,2018-12-10 22:18:32,1303
ludojopu_streamhu,ru,509576,Casino,2018-12-10 22:45:51,1283
CobaltStreak,en,510590,Hades,2018-12-10 23:56:43,1276
PeachSaliva,en,497480,Detroit: Become Human,2018-12-11 02:57:49,1270
Spikevegeta,en,11557,The Legend of Zelda: Ocarina of Time,2018-12-11 00:49:04,1261
Draskyl,en,29595,Dota 2,2018-12-10 22:20:19,1248
球球,zh,29307,Path of Exile,2018-12-11 03:00:15,1234
vsmzin,pt,32399,Counter-Strike: Global Offensive,2018-12-11 02:16:26,1225
xGladd,en,497057,Destiny 2,2018-12-11 02:55:35,1213
Weak3n,en,32507,Smite,2018-12-11 00:14:48,1212
TheNo1Alex,en,506237,"Pokemon: Let's Go, Pikachu!/Eevee!",2018-12-11 01:02:09,1205
JennaJulien,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 04:21:49,1190
dasMEHDI,en,71375,Star Citizen,2018-12-10 21:06:30,1161
jdotb,en,18122,World of Warcraft,2018-12-10 22:39:10,1157
Emongg,en,488552,Overwatch,2018-12-11 02:26:52,1149
Calebhart42,en,8676,Mega Man X,2018-12-11 02:43:28,1110
runitup247,en,488190,Poker,2018-12-10 09:54:39,1091
vituss_britvaa,ru,509576,Casino,2018-12-10 20:26:17,1087
Insomniuhh,en,32399,Counter-Strike: Global Offensive,2018-12-11 02:49:56,1081
runitup247,en,488190,Poker,2018-12-10 09:54:39,1070
Anthony_Kongphan,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-10 23:35:50,1068
Dramakins,en,66170,Warframe,2018-12-11 01:37:35,1059
moistcr1tikal,en,459931,Old School RuneScape,2018-12-11 02:29:20,1033
SkillSpecs,en,459931,Old School RuneScape,2018-12-11 00:32:00,1000
NoSympathyy,en,66170,Warframe,2018-12-10 16:01:05,999
A_Seagull,en,29307,Path of Exile,2018-12-11 02:36:48,998
vituss_britvaa,ru,509576,Casino,2018-12-10 20:26:17,994
eldenguee,es,21779,League of Legends,2018-12-11 02:10:45,993
usedpizza,en,11557,The Legend of Zelda: Ocarina of Time,2018-12-11 00:55:25,990
trihex,en,504461,Super Smash Bros. Ultimate,2018-12-11 01:19:21,987
DizzyKitten,en,504461,Super Smash Bros. Ultimate,2018-12-11 02:31:12,983
hearthstoneNESS,pt,499507,Welcome to the Game II,2018-12-10 22:57:20,981
Neuro,en,490422,StarCraft II,2018-12-10 20:55:22,979
Hutch,en,504462,Call of Duty: Black Ops 4,2018-12-11 00:52:04,940
2GGaming,en,504461,Super Smash Bros. Ultimate,2018-12-11 04:51:22,932
齊力斷金,zh,138585,Hearthstone,2018-12-11 02:56:09,932
Timmac,en,71375,Star Citizen,2018-12-10 16:10:05,918
MagiFelix,en,21779,League of Legends,2018-12-10 21:41:20,912
barstoolsports,en,33214,Fortnite,2018-12-11 01:09:53,910
SideArms4Reason,en,27471,Minecraft,2018-12-11 04:00:40,905
havoc616,en,29307,Path of Exile,2018-12-10 18:03:19,905
DutchsinseOfficial,en,509670,Science & Technology,2018-12-10 06:20:21,896
ExcessiveProfanity,en,493959,Red Dead Redemption 2,2018-12-11 02:12:05,892
heavyRainism,ko,490100,Lost Ark Online,2018-12-11 03:59:55,890
CuteDog_,en,29307,Path of Exile,2018-12-11 03:20:24,889
ALLinPav,en,488190,Poker,2018-12-11 00:26:22,883
seucreysonreborn,pt,32399,Counter-Strike: Global Offensive,2018-12-10 22:05:43,876
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-11 00:45:49,866
ivan,en,11557,The Legend of Zelda: Ocarina of Time,2018-12-10 21:30:22,860
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-11 00:45:49,848
seucreysonreborn,pt,32399,Counter-Strike: Global Offensive,2018-12-10 22:05:43,844
wintergaming,en,26175,PlanetSide 2,2018-12-11 00:38:46,819
GodHunt,ru,29595,Dota 2,2018-12-11 04:17:24,817
Alyek,en,66170,Warframe,2018-12-10 20:03:39,817
Matimi0,en,504199,Battlefield V,2018-12-11 02:01:53,815
Macho,en,66170,Warframe,2018-12-10 17:21:13,806
tarzaned,en,21779,League of Legends,2018-12-11 03:51:15,796
Mr_Mammal,en,459931,Old School RuneScape,2018-12-10 21:37:31,779
StreamerHouse,en,506246,Fallout 76,2018-12-10 05:28:02,773
자동,ko,509658,Just Chatting,2018-12-11 04:49:00,773
LuizaGCarvalho,pt,509658,Just Chatting,2018-12-11 02:03:05,772
StrifeCro,en,16937,Artifact,2018-12-11 00:59:43,764
MrLlamaSC,en,14304,Diablo II: Lord of Destruction,2018-12-11 01:49:11,754
allkeyshop_tv,en,509658,Just Chatting,2018-12-11 02:24:47,739
samiyam,en,18122,World of Warcraft,2018-12-10 19:47:09,739
RiffTrax,en,499973,Always On,2018-12-10 08:00:43,729
red_machine777,ru,29595,Dota 2,2018-12-11 04:07:40,725
KISSRADIO_FM997,zh,26936,Music & Performing Arts,2018-12-10 12:38:21,715
Andy,en,9435,The Legend of Zelda: A Link to the Past,2018-12-10 20:59:36,710
linezeus12,en,8901,Lineage II,2018-12-10 22:49:24,707
Luken,es,32399,Counter-Strike: Global Offensive,2018-12-11 02:18:28,701
Peeve,en,504461,Super Smash Bros. Ultimate,2018-12-11 01:23:07,690
象先輩,ja,21779,League of Legends,2018-12-10 23:14:49,685
ElFedelobo,es,509658,Just Chatting,2018-12-11 04:53:43,683
CoreJJ,en,21779,League of Legends,2018-12-11 04:35:02,680
Mejash,en,32502,World of Warships,2018-12-10 23:19:02,680
Ms5000Watts,en,497057,Destiny 2,2018-12-11 00:51:59,678
Skadoodle,en,490292,Dark Souls III,2018-12-10 21:11:16,677
Lacari,en,504461,Super Smash Bros. Ultimate,2018-12-11 00:02:18,651
금사향,ko,509658,Just Chatting,2018-12-11 01:41:27,649
