user_name,language,game_id,game_name,start_time(UTC Time),view_count
Dota2RuHub,ru,29595,Dota 2,2018-12-09 07:24:11,60216
epicenter_en1,en,29595,Dota 2,2018-12-09 07:24:11,35583
KingRichard,en,33214,Fortnite,2018-12-09 03:51:51,19432
summit1g,en,490377,Sea of Thieves,2018-12-08 20:15:12,16887
TSM_Hamlinz,en,33214,Fortnite,2018-12-09 08:26:56,16537
Thijs,en,138585,Hearthstone,2018-12-09 09:00:30,11898
Maximilian_DOOD,en,504461,Super Smash Bros. Ultimate,2018-12-09 05:26:47,10896
Rush,en,21779,League of Legends,2018-12-09 06:38:06,10721
룩삼,ko,138585,Hearthstone,2018-12-09 08:59:31,8909
Quin69,en,29307,Path of Exile,2018-12-09 04:13:52,7402
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-08 19:28:11,6771
케인,ko,9747,The King of Fighters '98: The Slugfest,2018-12-09 09:06:38,6718
Cryaotic,en,504461,Super Smash Bros. Ultimate,2018-12-09 04:01:08,6712
狂暴小建,zh,21779,League of Legends,2018-12-09 04:01:54,6617
pgl_fifa,en,506103,FIFA 19,2018-12-09 09:16:14,6475
Yogscast,en,27471,Minecraft,2018-12-09 00:30:39,6199
개복어,ko,490100,Lost Ark Online,2018-12-09 01:15:05,5586
BeyondTheSummit,en,29595,Dota 2,2018-12-09 06:25:47,5377
tomchen60229,zh,138585,Hearthstone,2018-12-09 08:16:30,4483
大魚,zh,417752,Talk Shows & Podcasts,2018-12-09 07:34:44,4382
ZiggyDLive,en,29307,Path of Exile,2018-12-09 04:21:39,4265
IWillDominate,en,21779,League of Legends,2018-12-09 09:04:47,4238
itmeJP,en,29307,Path of Exile,2018-12-08 20:19:01,4076
RaizQT,en,29307,Path of Exile,2018-12-08 21:20:39,3957
LeFrenchRestream,fr,10979,The Legend of Zelda,2018-12-08 17:24:58,3796
SolaryFortnite,fr,33214,Fortnite,2018-12-09 08:14:07,3793
懶貓,zh,509658,Just Chatting,2018-12-09 05:24:31,3694
Destiny,en,504462,Call of Duty: Black Ops 4,2018-12-09 08:11:02,3673
Lyeraa,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 23:29:57,3598
플러리,ko,504461,Super Smash Bros. Ultimate,2018-12-09 00:57:59,3559
플러리,ko,504461,Super Smash Bros. Ultimate,2018-12-09 00:57:59,3559
P4wnyhof,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-09 06:29:04,3543
KingGeorgeTV,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-09 02:12:54,3501
aimbotcalvin,en,459262,Call of Cthulhu - The Video Game,2018-12-09 04:04:41,3347
Trick2g,en,504462,Call of Duty: Black Ops 4,2018-12-08 22:29:58,3157
esl_joindotared,en,29595,Dota 2,2018-12-09 06:36:31,3093
Cyberclasher,th,29595,Dota 2,2018-12-09 07:57:20,3045
美女,zh,488552,Overwatch,2018-12-09 04:33:06,3003
초승달,ko,510564,Treasure Hunter Simulator,2018-12-09 05:40:09,2988
Loeya,en,33214,Fortnite,2018-12-09 08:52:35,2966
소니쇼,ko,509658,Just Chatting,2018-12-09 09:08:20,2809
Electra,en,33214,Fortnite,2018-12-09 04:28:35,2716
melharucos,ru,458781,No Man's Sky,2018-12-09 09:30:48,2697
Wingsofdeath,en,21779,League of Legends,2018-12-09 05:04:15,2619
코렛트,ko,21465,osu!,2018-12-09 09:09:06,2584
PowerUpWithPride,en,495973,Semblance,2018-12-09 05:59:13,2539
mandiocaa1,pt,21779,League of Legends,2018-12-09 02:47:29,2514
