user_name,language,game_id,game_name,start_time(UTC Time),view_count
Dota2RuHub,ru,29595,Dota 2,2018-12-08 10:18:24,75938
PietSmiet,de,509663,Special Events,2018-12-08 12:29:23,74791
epicenter_en1,en,29595,Dota 2,2018-12-08 09:37:01,34435
TimTheTatman,en,33214,Fortnite,2018-12-08 13:14:56,25463
Thijs,en,138585,Hearthstone,2018-12-08 08:57:58,20510
forsen,en,504461,Super Smash Bros. Ultimate,2018-12-08 10:20:47,20035
IbaaiLVP,es,21779,League of Legends,2018-12-08 09:26:29,20003
cloakzy,en,33214,Fortnite,2018-12-08 06:53:48,15312
Yogscast,en,488552,Overwatch,2018-12-08 10:55:18,14134
Zizaran,en,29307,Path of Exile,2018-12-07 16:35:35,12424
풍월량,ko,509146,Battlerite Royale,2018-12-08 11:32:17,12240
HighDistortion,en,33214,Fortnite,2018-12-08 11:51:07,9786
pgl_fifa,en,506103,FIFA 19,2018-12-08 13:00:33,8954
얍얍,ko,490100,Lost Ark Online,2018-12-08 11:35:14,8744
따효니,ko,138585,Hearthstone,2018-12-08 13:11:13,8704
valentineche,ru,33214,Fortnite,2018-12-08 13:45:29,8614
Quin69,en,29307,Path of Exile,2018-12-08 07:24:46,8438
wirforce,zh,509663,Special Events,2018-12-08 03:49:51,8180
GLL,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 13:30:20,7844
IWillDominate,en,21779,League of Legends,2018-12-08 10:10:47,7614
4Gamers_idol,zh,26936,Music & Performing Arts,2018-12-08 00:39:52,7495
룩삼,ko,138585,Hearthstone,2018-12-08 09:59:24,7214
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-08 02:12:40,6803
Giantwaffle,en,29307,Path of Exile,2018-12-07 15:55:13,6304
Gosu,en,21779,League of Legends,2018-12-08 08:48:29,6195
矮子娃娃,zh,138585,Hearthstone,2018-12-08 12:11:29,6180
탬탬버린,ko,26936,Music & Performing Arts,2018-12-08 11:29:43,6140
Riot Games,en,21779,League of Legends,2018-12-08 14:43:08,6005
fps_shaka,ja,26569,Alliance of Valiant Arms,2018-12-08 13:09:03,5715
JakenbakeLIVE,en,509658,Just Chatting,2018-12-08 08:10:45,5685
Magic,en,2748,Magic: The Gathering,2018-12-08 08:45:38,5579
Mongraal,en,33214,Fortnite,2018-12-08 14:16:40,5530
DrLupo,en,33214,Fortnite,2018-12-08 14:21:07,5437
Papaplatte,de,509658,Just Chatting,2018-12-08 12:39:40,5336
亞洲統神,zh,21779,League of Legends,2018-12-08 13:47:02,5103
김도,ko,489776,Fallout 4,2018-12-08 09:16:31,4979
Solary,fr,504461,Super Smash Bros. Ultimate,2018-12-08 10:42:50,4769
MYARENAONLINE,th,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 12:46:11,4652
꽃핀,ko,509658,Just Chatting,2018-12-08 13:05:16,4581
BlackUFA,ru,4520,Ashen,2018-12-08 13:58:12,4180
Overpow,pl,21779,League of Legends,2018-12-08 08:50:59,4082
armatvhs,fr,138585,Hearthstone,2018-12-08 13:13:19,4036
just9n,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 10:23:34,3985
SolaryFortnite,fr,33214,Fortnite,2018-12-08 08:57:25,3848
B0aty,en,459931,Old School RuneScape,2018-12-08 14:03:15,3702
C_a_k_e,ru,499507,Welcome to the Game II,2018-12-08 13:25:13,3598
GamblingL,en,509576,Casino,2018-12-07 03:42:33,3597
JRohn7,it,506103,FIFA 19,2018-12-08 14:13:47,3540
CSRuHub,ru,32399,Counter-Strike: Global Offensive,2018-12-08 14:51:28,3536
懶貓,zh,509658,Just Chatting,2018-12-08 08:56:55,3525
casino_bo55,en,509576,Casino,2018-12-08 13:11:28,3470
Loeya,en,33214,Fortnite,2018-12-08 09:28:04,3444
Sacriel,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 11:59:11,3433
LeFrenchRestream,fr,31284,Sonic Generations,2018-12-07 18:07:36,3391
elementlolz,pt,21779,League of Legends,2018-12-08 11:17:57,3311
Nepenthez,en,506103,FIFA 19,2018-12-08 14:23:19,3055
goldenglue,en,21779,League of Legends,2018-12-08 08:47:54,3032
illidanstr,ru,29595,Dota 2,2018-12-08 11:49:12,2913
우왁굳,ko,509146,Battlerite Royale,2018-12-08 07:41:40,2768
nugiyen,en,29307,Path of Exile,2018-12-08 10:06:25,2728
yznb,sv,32399,Counter-Strike: Global Offensive,2018-12-08 10:28:25,2725
Dota2ruhub2,ru,29595,Dota 2,2018-12-08 13:59:26,2683
SPYGEA,ja,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-08 12:00:54,2662
