user_name,language,game_id,game_name,start_time(UTC Time),view_count
Fortnite,en,33214,Fortnite,2018-12-12 21:30:01,88954
shroud,en,491705,Insurgency: Sandstorm,2018-12-12 19:44:41,40774
CouRageJD,en,33214,Fortnite,2018-12-12 19:28:51,29399
TSM_Daequan,en,33214,Fortnite,2018-12-12 22:38:51,23873
sodapoppin,en,488518,Friday the 13th: The Game,2018-12-12 19:19:36,23684
NICKMERCS,en,33214,Fortnite,2018-12-12 22:45:22,17107
LOLITOFDEZ,es,33214,Fortnite,2018-12-12 21:55:44,16760
NeoNess007,en,66170,Warframe,2018-12-12 19:58:12,16752
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-12 20:13:06,14607
summit1g,en,490377,Sea of Thieves,2018-12-12 21:37:49,14557
YoDa,pt,21779,League of Legends,2018-12-12 23:39:55,13742
DisguisedToast,en,138585,Hearthstone,2018-12-12 22:01:19,13079
xQcOW,en,488518,Friday the 13th: The Game,2018-12-12 20:12:19,11825
jukes,pt,21779,League of Legends,2018-12-12 20:08:09,11329
TimTheTatman,en,509658,Just Chatting,2018-12-13 00:58:36,9850
TSM_Hamlinz,en,33214,Fortnite,2018-12-12 20:30:34,9523
chocoTaco,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-12 18:27:15,8933
Rubius,es,33214,Fortnite,2018-12-12 23:50:52,8827
Rakin,pt,21779,League of Legends,2018-12-12 22:04:15,7616
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-13 00:51:18,7425
livekiss,zh,26936,Music & Performing Arts,2018-12-11 14:59:23,7153
Yogscast,en,27471,Minecraft,2018-12-12 23:03:26,6913
Chap,en,33214,Fortnite,2018-12-13 01:06:51,6045
Zizaran,en,29307,Path of Exile,2018-12-12 16:54:14,5962
FortniteDE,de,33214,Fortnite,2018-12-12 21:30:20,5296
SypherPK,en,33214,Fortnite,2018-12-12 20:17:18,5292
Kamet0,fr,509658,Just Chatting,2018-12-12 21:31:11,5033
서새봄냥,ko,21779,League of Legends,2018-12-12 14:02:50,4962
gafallen,pt,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-12 23:51:46,4940
FollowGrubby,en,12924,Warcraft III: The Frozen Throne,2018-12-12 19:39:52,4925
gafallen,pt,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-12 23:51:46,4902
fl0m,en,32399,Counter-Strike: Global Offensive,2018-12-12 21:43:30,4714
gaules,pt,32399,Counter-Strike: Global Offensive,2018-12-12 22:40:16,4712
fnxLNTC,pt,32399,Counter-Strike: Global Offensive,2018-12-12 23:50:59,4704
POW3Rtv,it,33214,Fortnite,2018-12-12 20:36:45,4600
Trick2g,en,21779,League of Legends,2018-12-12 21:52:33,4535
bmkibler,en,138585,Hearthstone,2018-12-12 22:54:55,4515
Zzk7,es,33214,Fortnite,2018-12-13 00:26:40,4468
DansGaming,en,29307,Path of Exile,2018-12-12 16:06:02,4182
OverwatchContenders,en,488552,Overwatch,2018-12-12 23:45:55,3994
BeyondTheSummit,en,29595,Dota 2,2018-12-12 12:28:00,3962
Elwind,tr,21779,League of Legends,2018-12-12 23:13:17,3858
Scarra,en,21779,League of Legends,2018-12-12 22:55:12,3808
TwitchRivals,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-12 21:30:03,3747
LFFN,en,504461,Super Smash Bros. Ultimate,2018-12-12 17:30:17,3644
Amouranth,en,509659,ASMR,2018-12-12 20:53:29,3543
Jerma985,en,493080,Earth Defense Forces 5,2018-12-13 00:04:26,3450
Aphromoo,en,21779,League of Legends,2018-12-13 00:15:11,3430
TheHydrogen,pt,21779,League of Legends,2018-12-12 22:00:15,3412
NoSympathyy,en,66170,Warframe,2018-12-12 17:00:47,3281
aimbotcalvin,en,488552,Overwatch,2018-12-13 00:46:30,3173
Aydan,en,33214,Fortnite,2018-12-13 01:11:57,3036
No0b3,en,491487,Dead by Daylight,2018-12-12 20:56:45,3024
