user_name,language,game_id,game_name,start_time(UTC Time),view_count
dakotaz,en,33214,Fortnite,2018-12-11 06:56:25,33054
Thijs,en,138585,Hearthstone,2018-12-11 09:00:55,15630
C9Sneaky,en,21779,League of Legends,2018-12-11 05:50:02,14867
풍월량,ko,493080,Earth Defense Forces 5,2018-12-11 11:59:15,14438
forsen,en,504461,Super Smash Bros. Ultimate,2018-12-11 10:29:27,13545
Yogscast,en,490413,Board Games,2018-12-11 10:54:24,12880
한동숙,ko,490100,Lost Ark Online,2018-12-11 11:25:53,11286
Shanksy,en,66170,Warframe,2018-12-11 11:52:11,10895
羅傑,zh,138585,Hearthstone,2018-12-11 12:45:30,8253
얍얍,ko,490100,Lost Ark Online,2018-12-11 09:14:55,7893
Zizaran,en,29307,Path of Exile,2018-12-11 02:21:55,7386
DreadzTV,ru,29595,Dota 2,2018-12-11 13:58:19,6919
Starladder5,ru,32399,Counter-Strike: Global Offensive,2018-12-11 13:38:41,6900
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-10 19:44:05,6666
老皮,zh,504260,Mutant Year Zero: Road to Eden,2018-12-11 11:51:27,6348
TFBlade,en,21779,League of Legends,2018-12-11 13:04:39,5998
w33haa,en,29595,Dota 2,2018-12-11 08:37:47,5867
Quin69,en,29307,Path of Exile,2018-12-11 10:50:59,5670
just_ns,ru,29595,Dota 2,2018-12-11 13:31:35,5601
SilverName,ru,27471,Minecraft,2018-12-11 13:52:46,5573
Nightblue3,en,21779,League of Legends,2018-12-11 13:58:40,5506
殺梗,zh,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 09:52:49,5504
stylishnoob4,ja,110758,The Legend of Zelda: Breath of the Wild,2018-12-11 10:41:32,5131
NoWay4u_Sir,de,21779,League of Legends,2018-12-11 12:19:13,5023
BASETRADETV,en,490422,StarCraft II,2018-12-11 11:39:25,5021
jovirone,pt,21779,League of Legends,2018-12-11 14:03:16,4999
SypherPK,en,33214,Fortnite,2018-12-11 13:59:41,4979
LexVeldhuis,en,488190,Poker,2018-12-11 07:45:47,4971
達哥,zh,506103,FIFA 19,2018-12-11 13:43:03,4967
接接,zh,504461,Super Smash Bros. Ultimate,2018-12-11 12:47:35,4946
singsing,en,29595,Dota 2,2018-12-11 13:18:43,4812
