user_name,language,game_id,game_name,start_time(UTC Time),view_count
Riot Games,en,21779,League of Legends,2018-12-07 23:00:15,98791
Call of Duty,en,504462,Call of Duty: Black Ops 4,2018-12-07 22:58:02,66895
Ninja,en,33214,Fortnite,2018-12-07 23:17:56,50114
shroud,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-07 18:28:49,39783
RiotGamesBrazil,pt,21779,League of Legends,2018-12-07 23:30:32,27722
NICKMERCS,en,33214,Fortnite,2018-12-07 21:47:27,15449
LCK_Korea,ko,21779,League of Legends,2018-12-07 23:17:17,14685
xQcOW,en,504461,Super Smash Bros. Ultimate,2018-12-07 20:34:14,14325
Mathil1,en,29307,Path of Exile,2018-12-07 18:01:54,13365
DisguisedToast,en,138585,Hearthstone,2018-12-07 18:40:53,12966
LOLITOFDEZ,es,33214,Fortnite,2018-12-08 00:05:40,12762
LIRIK,en,29307,Path of Exile,2018-12-07 17:01:32,11901
summit1g,en,490377,Sea of Thieves,2018-12-07 21:23:30,10465
NairoMK,en,504461,Super Smash Bros. Ultimate,2018-12-07 19:09:20,10302
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-08 02:12:40,9953
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-08 00:35:18,9019
LVPes,es,21779,League of Legends,2018-12-07 23:22:05,8717
gaules,pt,32399,Counter-Strike: Global Offensive,2018-12-07 21:51:05,8025
dogdog,en,138585,Hearthstone,2018-12-07 22:56:45,7440
한동숙,ko,490100,Lost Ark Online,2018-12-07 11:12:29,7317
RiotGamesJP,ja,21779,League of Legends,2018-12-07 23:30:09,7314
DrLupo,en,504461,Super Smash Bros. Ultimate,2018-12-08 01:52:27,6902
AdmiralBahroo,en,504461,Super Smash Bros. Ultimate,2018-12-07 16:23:18,6692
lolesportsla,es,21779,League of Legends,2018-12-07 23:55:04,6492
Zizaran,en,29307,Path of Exile,2018-12-07 16:35:35,6485
RiotGamesTurkish,tr,21779,League of Legends,2018-12-07 23:50:40,6028
CouRageJD,en,504461,Super Smash Bros. Ultimate,2018-12-07 18:47:16,5761
SypherPK,en,33214,Fortnite,2018-12-07 23:12:37,5713
Call of Duty® Charlie,en,504462,Call of Duty: Black Ops 4,2018-12-07 23:08:38,5552
Call of Duty® Bravo,en,504462,Call of Duty: Black Ops 4,2018-12-07 23:08:38,5347
Yogscast,en,27471,Minecraft,2018-12-07 23:21:46,5338
Quin69,en,29307,Path of Exile,2018-12-07 23:22:06,5204
Destiny,en,493815,Oxygen Not Included,2018-12-07 16:57:39,4975
RaizQT,en,29307,Path of Exile,2018-12-07 16:40:19,4913
chocoTaco,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-07 16:59:23,4840
BeyondTheSummit,en,29595,Dota 2,2018-12-08 02:33:26,4839
Cizzorz,en,33214,Fortnite,2018-12-08 01:11:00,4707
Chap,en,33214,Fortnite,2018-12-07 18:10:13,4533
SummonersInnLive,de,21779,League of Legends,2018-12-07 22:51:28,4338
TSM_Myth,en,33214,Fortnite,2018-12-08 01:53:50,4257
LFFN,en,504461,Super Smash Bros. Ultimate,2018-12-07 15:08:42,4259
SummonersInnLive,de,21779,League of Legends,2018-12-07 22:51:28,4238
fuslie,en,504461,Super Smash Bros. Ultimate,2018-12-07 04:04:23,4133
공혁준,ko,138585,Hearthstone,2018-12-08 00:53:35,4020
얍얍,ko,490100,Lost Ark Online,2018-12-07 09:10:34,4020
mang0,en,504461,Super Smash Bros. Ultimate,2018-12-07 21:40:36,3985
