game_name,total view_count
Kirby: Planet Robobot,37
"Guns, Gore and Cannoli 2",37
Alone in the Dark: The New Nightmare,37
"Cook, Serve, Delicious! 2!!",36
Monopoly One,36
Castlevania: Symphony of the Night,36
Mad Max,36
Marble Madness,36
Thea 2: The Shattering,35
Just Dance,35
NBA 2K18,34
Machinarium,34
Armikrog,34
The Count Lucanor,34
The Jackbox Party Pack,34
Super Smash Bros. Brawl,33
Armello,33
The Last of Us Part II,33
The Surge,33
The Witcher 2: Assassins of Kings,33
Starsector,33
Furi,33
ReCore,33
Dungreed,32
Adventure Quest 3D,32
My Time at Portia,32
Wizard101,32
Goat Simulator,32
CrossCode,31
Freestyle Street Basketball 2,31
Half-Life 2: Episode Two,31
Aim Hero,31
"Warhammer 40,000: Dawn of War II",31
Layers of Fear,31
Tower Unite,30
PokÁE©mon Mystery Dungeon: Blue/Red Rescue Team,30
Onward,30
Cypher,30
Doom 64,30
Jade Cocoon: Story of the Tamamayu,30
Seal Online,30
Robocraft,29
Umineko When They Cry: Answer Arcs,29
A Way Out,29
The Legend of Dragoon,29
Mabinogi,29
Crusaders Quest,29
S4 League,28
Holdfast: Nations At War,28
Deus Ex: Mankind Divided,28
Far Cry 4,28
Katawa Shoujo,27
Ghost of a Tale,27
Mario Tennis Aces,26
Creativerse,26
Final Fantasy XII: The Zodiac Age,26
Adam Wolfe,26
Lamplight City,25
Vampyr,25
Observer,25
Kynseed,25
Magicka,25
State of Decay 2,25
#Compass,24
Crash Bash,24
BioShock Infinite,24
We Were Here Too,24
The Quiet Man,24
Batman: Arkham Asylum,24
Ultra Street Fighter IV,23
Music For Everyone,23
Dungeons 3,23
Kingdoms of Amalur: Reckoning,23
Pinturillo 2,23
Samurai Shodown V Special,22
Yakuza Kiwami,22
"Gremlins, Inc.",22
Stick Fight: The Game,22
Ori and the Blind Forest,22
Atelier Firis: The Alchemist of the Mysterious Journey,22
The Red Strings Club,22
Rogue Legacy,22
Mass Effect 3,22
Red Dead Redemption,22
Lara Croft Tomb Raider: Legend,22
Sly Cooper and the Thievius Raccoonus,21
Villagers and Heroes,21
Bully,21
Dead Island Riptide,21
Blade & Sorcery,21
South Park: Phone Destroyer,21
Modern Warfare 2,21
Scratches,20
Fire Emblem,20
F1 2018,20
Digimon Story: Cyber Sleuth Hacker's Memory,20
God Hand,20
Battlefield 3,20
Resident Evil: Outbreak - File #2,20
Wandersong,20
Command & Conquer: Rivals,20
Worms Revolution,20
Dragon Age: Origins,19
Just Cause 3,19
Dead or Alive 5 Last Round,18
Tom Clancy's Splinter Cell,17
Drakengard 3,16
Valdis Story: Abyssal City,14
Utawarerumono,13
Kirby: Star Allies,13
Stranger of Sword City,12
Endless Space 2,11
Crash Team Racing,11
Mass Effect 2,11
Total War: WARHAMMER,11
Rules of Survival,11
Forza Motorsport 7,10
Human Resource Machine,10
Space Engineers,10
