game_name,total view_count
Twitch Plays,2608
Dark Souls II: Scholar of the First Sin,2588
Shin Megami Tensei: Digital Devil Saga 2,2580
Metal Gear Solid,2547
Semblance,2539
SOMA,2538
"Good Pizza, Great Pizza",2524
Legends of Aria,2506
Virtual Reality,2425
XCOM: Enemy Within,2382
Subnautica,2368
Borderlands 2,2354
Mega Man X,2352
Darkest Dungeon,2343
Warhammer: Vermintide 2,2335
The Legend of Heroes: Trails of Cold Steel II,2333
Team Fortress 2,2324
Prime World,2322
Steam,2293
Gran Turismo Sport,2266
PlanetSide 2,2254
The Witch's House,2234
Fire Emblem: Thracia 776,2215
Ni no Kuni II: Revenant Kingdom,2192
Harry Potter and the Philosopher's Stone,2143
NieR Automata,2139
Yu-Gi-Oh! Forbidden Memories,2134
FÁEºtbol,2126
Cities: Skylines,2087
Business Tour,2086
FIFA 17,2085
The Jackbox Party Pack 3,2061
Evasion,2037
War of Rights,2028
CLOP,2027
Getting Over It,2026
Final Fantasy III,1997
Super Smash Bros. for Wii U,1989
Princess Connect! Re: Dive,1987
Spelunky,1982
MechWarrior Online,1937
PokÁE©mon FireRed/LeafGreen,1937
Final Fantasy IV: The Complete Collection,1911
Worlds Adrift,1900
SpongeBob SquarePants: Battle for Bikini Bottom,1873
We Love Katamari,1872
Trine 2,1844
American Truck Simulator,1804
PokÁE©mon Platinum,1774
The Last of Us,1763
Minion Masters,1754
My Summer Car,1746
Power Rangers: Dino Thunder,1745
Metroid Prime,1713
Super Meat Boy,1710
Resident Evil 4,1671
Pixel Painter Story,1660
Bomberman 64,1654
Realm Royale,1640
Super Mario RPG: Legend of the Seven Stars,1634
Beauty & Body Art,1620
Dark Souls II,1612
Rage in Peace,1596
Arizona Sunshine,1593
Far Cry 5,1570
CrossFire,1561
Wo Yao Da,1559
Super Mario Galaxy 2,1547
SpeedRunners,1539
Pro Evolution Soccer 2019,1532
I Wanna Be The Boshy,1521
Persona 5,1520
We Need to Go Deeper,1478
Final Fantasy Tactics,1474
Identity V,1472
The Legend of Zelda: The Wind Waker,1465
Vainglory,1447
PokÁE©mon Super Mystery Dungeon,1437
Might & Magic: Elemental Guardians,1424
Monster Boy and The Cursed Kingdom,1420
Blood Bowl 2,1418
Half-Life,1418
Ragnarok Online,1410
The Simpsons: Hit & Run,1408
Mafia.gg,1406
Sid Meier's Civilization VI,1390
Half-Life 2,1365
Fire Emblem Fates,1362
Factorio,1351
The Long Dark,1345
The Legend of Zelda: Phantom Hourglass,1339
The Jackbox Party Pack 5,1332
Life Goes On,1330
Slap City,1319
Forza Horizon 4,1311
Stormworks: Build and Rescue,1311
Rise of the Tomb Raider,1308
Banjo-Tooie,1305
Brawl Stars,1298
Silent Hill 4: The Room,1292
Dusk,1288
LoupsGarous.fr,1283
OneShot,1282
Rapture Rejects,1278
EA Sports UFC 3,1277
Crazy Arcade,1267
windowframe,1267
Splatoon 2,1262
Mega Man 11,1261
L.A. Noire,1248
Survived By,1245
Flyff - Fly For Fun,1239
The Guild 2: Renaissance,1220
Resident Evil,1199
Hearts of Iron IV,1192
Overcooked! 2,1188
Throne of Lies: The Online Game of Deceit,1172
Persona 4 Golden,1155
"Dude, Stop",1151
Shadow Warrior 2,1143
Steel Rats,1142
S.T.A.L.K.E.R.: Call of Pripyat,1139
Zettai Zetsumei Toshi 4: Summer Memories,1123
Dauntless,1118
PokÁE©mon Crystal,1105
Cyphers Online,1103
Outlast,1100
Resident Evil 6,1091
Shadow of the Tomb Raider,1089
Pocket Mortys,1081
Resident Evil 2,1080
XCOM 2: War of the Chosen,1078
Geometry Dash,1060
Mega Man 2,1057
Final Fantasy VIII,1026
Frostpunk,1017
Judgement,1010
Two Point Hospital,998
Return of the Obra Dinn,996
Destiny Child,995
SteamWorld Dig 2,994
Clash of Clans,989
Romance of the Three Kingdoms XIII,988
Tabletop Simulator,986
Girls Frontline,975
