user_name,language,game_id,game_name,start_time(UTC Time),view_count
Dota2RuHub,ru,29595,Dota 2,2018-12-08 09:16:24,26368
nl_Kripp,en,138585,Hearthstone,2018-12-08 04:01:05,19741
TSM_Hamlinz,en,33214,Fortnite,2018-12-08 04:35:03,19453
Maximilian_DOOD,en,504461,Super Smash Bros. Ultimate,2018-12-08 04:20:15,14178
summit1g,en,490377,Sea of Thieves,2018-12-07 21:23:30,11868
epicenter_en1,en,29595,Dota 2,2018-12-08 08:37:16,10992
AmericanDad,en,33214,Fortnite,2018-12-08 03:52:17,10646
Zizaran,en,29307,Path of Exile,2018-12-07 16:35:35,9552
Rush,en,21779,League of Legends,2018-12-08 07:02:19,9093
TSM_Myth,en,33214,Fortnite,2018-12-08 01:53:50,8922
aimbotcalvin,en,488552,Overwatch,2018-12-08 04:05:46,8198
김진우,ko,509658,Just Chatting,2018-12-08 08:31:23,8123
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-08 02:12:40,7893
wirforce,zh,138585,Hearthstone,2018-12-08 03:49:51,6335
4Gamers_idol,zh,26936,Music & Performing Arts,2018-12-08 00:39:52,6173
쌍베,ko,509658,Just Chatting,2018-12-08 06:09:27,6160
餐餐自由配,zh,506073,Escape First,2018-12-08 06:59:29,5866
cloakzy,en,33214,Fortnite,2018-12-08 06:53:48,5760
침착맨,ko,32959,Heroes of the Storm,2018-12-08 06:55:42,5617
Quin69,en,29307,Path of Exile,2018-12-08 07:24:46,5609
Yogscast,en,27471,Minecraft,2018-12-07 23:21:46,5409
DawNHS,ko,138585,Hearthstone,2018-12-08 06:03:10,4800
Thijs,en,138585,Hearthstone,2018-12-08 08:57:58,4786
JakenbakeLIVE,en,509658,Just Chatting,2018-12-08 08:10:45,4522
ClintStevens,en,504461,Super Smash Bros. Ultimate,2018-12-08 05:49:23,4368
狂暴小建,zh,21779,League of Legends,2018-12-08 08:15:22,4042
RaizQT,en,29307,Path of Exile,2018-12-07 16:40:19,4038
KingGeorgeTV,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-08 02:37:24,3726
GfinityAU,en,32399,Counter-Strike: Global Offensive,2018-12-08 03:45:07,3688
개복어,ko,490100,Lost Ark Online,2018-12-08 00:22:02,3687
개복어,ko,490100,Lost Ark Online,2018-12-08 00:22:02,3673
FPSThailand,th,32399,Counter-Strike: Global Offensive,2018-12-08 06:43:44,3630
BeyondTheSummit,en,29595,Dota 2,2018-12-08 08:12:38,3542
itmeJP,en,29307,Path of Exile,2018-12-07 17:39:46,3524
AdzTV,fr,33214,Fortnite,2018-12-08 06:54:46,3198
Giantwaffle,en,29307,Path of Exile,2018-12-07 15:55:13,3176
ZiggyDLive,en,29307,Path of Exile,2018-12-07 18:30:24,3128
JustGaBBo,it,506103,FIFA 19,2018-12-08 00:51:29,3122
