user_name,language,game_id,game_name,start_time(UTC Time),view_count
Fortnite,en,33214,Fortnite,2018-12-11 19:29:59,65852
NICKMERCS,en,33214,Fortnite,2018-12-11 21:07:55,32601
TimTheTatman,en,33214,Fortnite,2018-12-12 01:07:15,23656
shroud,en,460630,Tom Clancy's Rainbow Six: Siege,2018-12-11 21:18:42,20647
TSM_Daequan,en,33214,Fortnite,2018-12-12 00:18:28,18714
xQcOW,en,509658,Just Chatting,2018-12-11 20:24:55,18454
loltyler1,en,21779,League of Legends,2018-12-11 20:43:14,16461
NeoNess007,en,66170,Warframe,2018-12-11 19:59:03,14942
YoDa,pt,21779,League of Legends,2018-12-12 01:33:32,14551
summit1g,en,490377,Sea of Thieves,2018-12-11 22:39:17,14222
ZeRo,en,504461,Super Smash Bros. Ultimate,2018-12-11 19:51:29,13260
jukes,pt,21779,League of Legends,2018-12-11 19:17:04,11941
PatoPapao,pt,509658,Just Chatting,2018-12-11 23:17:11,11863
AdmiralBahroo,en,504462,Call of Duty: Black Ops 4,2018-12-11 16:01:21,11708
LOLITOFDEZ,es,33214,Fortnite,2018-12-12 00:22:04,10062
Tfue,en,33214,Fortnite,2018-12-12 02:26:25,8939
Chap,en,33214,Fortnite,2018-12-12 01:58:36,8717
dogdog,en,138585,Hearthstone,2018-12-12 00:24:42,8349
gaules,pt,32399,Counter-Strike: Global Offensive,2018-12-12 00:33:21,8278
TSM_Hamlinz,en,33214,Fortnite,2018-12-12 00:38:43,7985
livekiss,zh,26936,Music & Performing Arts,2018-12-11 14:59:23,7905
DisguisedToast,en,138585,Hearthstone,2018-12-12 00:51:42,7663
actionjaxon,en,488632,Enter the Gungeon,2018-12-12 01:01:03,7541
Ninja,en,10229,Final Fantasy XI Online,2018-12-11 23:00:21,7452
Zizaran,en,29307,Path of Exile,2018-12-11 02:21:55,7031
coscu,es,509658,Just Chatting,2018-12-12 01:24:22,6553
Yogscast,en,27471,Minecraft,2018-12-11 22:14:28,5867
Symfuhny,en,33214,Fortnite,2018-12-11 23:38:29,5647
OverwatchContenders,en,488552,Overwatch,2018-12-11 23:46:18,5231
Giantwaffle,en,504462,Call of Duty: Black Ops 4,2018-12-11 15:43:03,5106
chocoTaco,en,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-12 01:03:16,5093
개복어,ko,490100,Lost Ark Online,2018-12-12 00:09:33,4838
ZiggyDLive,en,29307,Path of Exile,2018-12-11 22:24:30,4728
SkipNhO,pt,493057,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-12-11 16:48:52,4647
LFFN,en,504461,Super Smash Bros. Ultimate,2018-12-11 18:09:49,4549
Wavy,en,504461,Super Smash Bros. Ultimate,2018-12-12 00:49:00,4501
Northernlion,en,504689,Farming Simulator 19,2018-12-11 20:59:45,4495
Day9tv,en,2748,Magic: The Gathering,2018-12-11 22:06:27,4302
CDNThe3rd,en,504461,Super Smash Bros. Ultimate,2018-12-12 01:04:05,4282
CDNThe3rd,en,504461,Super Smash Bros. Ultimate,2018-12-12 01:04:05,4294
Cellbit,pt,510344,Kingdom Two Crowns,2018-12-11 19:23:45,4130
Kitboga,en,509658,Just Chatting,2018-12-12 00:08:55,3989
Scarra,en,21779,League of Legends,2018-12-11 23:40:14,3909
Jerma985,en,66254,Hotline Miami,2018-12-12 00:04:36,3768
schizzoinside,ru,29595,Dota 2,2018-12-11 23:58:32,3726
BananaSlamJamma,en,29595,Dota 2,2018-12-11 22:11:40,3652
FortniteDE,de,33214,Fortnite,2018-12-11 19:30:19,3639
Cizzorz,en,33214,Fortnite,2018-12-11 21:02:16,3574
SypherPK,en,33214,Fortnite,2018-12-11 23:57:35,3432
SypherPK,en,33214,Fortnite,2018-12-11 23:57:35,3375
Nadeshot,en,504462,Call of Duty: Black Ops 4,2018-12-12 01:33:07,3371
deadmau5,en,509660,Art,2018-12-11 23:23:33,3223
NairoMK,en,504461,Super Smash Bros. Ultimate,2018-12-11 23:50:21,3135
KabajiOW,en,488552,Overwatch,2018-12-11 19:43:24,3114
NoSympathyy,en,66170,Warframe,2018-12-11 16:47:11,3069
